label,text
positive,good this is the best method to tackle corona virus presently
negative,in the past couple of weeks the the kuwait government a royal princess of the as well as a no of arab activists have called out islamophobia hate speech by indian seen to be accusing the country's muslims of spreading the novel coronavirus
positive,thank you for your encouraging words your support and motivation strengthens our resolve to serve the despite the adverse circumstances /ypomtl1g9b
negative,trump and modi in their ubiqutous hubris denied covid 19 initailly making their own people more unsafe …
negative,dumb cn't calm fears bc he has zero skills lying about the pandemic is not leadership his infection of is more dangerous than anything trump wants payroll tax relief to calm virus spooked markets
negative,conspiracy theory the coronavirus was caused by the millennial fad of eating “the booty like groceries ”
negative,president trump did not make the coronavirus china did and released it to try and get president trump out of office tired of being stupid yet
negative,hitler in action turning asylum seekers away in response to coronavirus outbreak 'will endanger more lives ' rights groups warn
negative,god forbid you have tix to a concert and are not feeling well despite the coronavirus pandemic would rather you go to the concert and make everyone sick rather than refund your tix bad business
negative,fuck me sullivan will probably get corona virus on loan with option to buy
positive,kejriwal sahab spends crores if money in advertising but have no money for our corona health warriors who are 24*7 risking their lives just to save ours /skjpwef5wf
negative,people understand with your funny tone more people will understand and follow as we do not take serious thing serious so do it for us as now we will be blamed if we get corona or if we do not get vent and finally if we die as gov't does not want to do anything
negative,if you are going to ask someone where you should go get tested for coronavirus consider not walking up to them but asking from a far also do not be surprised if the person you walked up to is giving a disgusted look at you there is a reason
positive,ya girl is out clapping_hands_medium_skin_tone of clapping_hands_medium_skin_tone shape clapping_hands_medium_skin_tone & ready to be back in the gym howevaa abu dhabi was beautiful United_Arab_Emirates • • _19 dhabi united arab emirates
negative,“students will not be allowed to return to campus to gather their belongings given “rapid change of circumstances and advisement of health officials” and “for the sake of individual and broader campus safety”” duke bans students from dorms
negative,coronavirus mortgage payment worries take these steps
negative,wait they will remove all ur service request also and security guard they will not pay for water they will not send anyone for cleaning if u will call them they will say sir/mam ths is lockdown after lockdown wll arrange boss the situation is since we shifted at ur apartment
negative,this is what the news channel's need to highlight people lockdown in home's are going in depression due to the negative news of corona
negative,distracting myself as much as possible but overwhelming sadness when i when hear about the coronavirus devastated that our administration blew any chance of taking the virus head on & worried about how many innocent lives are going to be lost because of their incompetence
negative,rip sajid wajid great loss for bollywood he passed due to covid 19 heart and kidney disease 2020 is such a worst year ー19
negative,what part of ‘social distancing'/‘stay at home'/‘ ' did not these understand obviously the messaging on the has not been understood yet by large sections of india despite our pm/goi trying to explain
positive,how do you behind eligible to test your eyesight by driving 30 miles to a beauty spot on your wife's birthday during lockdown pic twitter com/lr3292kozm
positive,_ur_heroes cute angels source of for us zuhaib has been filling this coin bank for 3 years today he made his contributions to ababeel _hero this contribution has been one of the most emotional ones this ramadhan
negative,this time it is about indian economy after the covid19 pandemic pls watch comment and share …
negative,3rd death reported in j&k toll 31 the death toll due to ー19 rose to 31 in jammu and kashmir as third death was reported due to the coronavirus in on monday …
positive,youth congress and we are all proud to find a president like you sir the service work done by you throughout the lockdown is commendable which is not possible to describe in words
negative,"what would a covid 19 pandemic look like in australia ""i'm always concerned that people will think that once it is going there is nothing you can do about it but that could not be further from the truth” thanks for this insightful piece"
negative,dear i know a state of ours cannot shell out that much but it will be great if we have some financial package for all those front line staffs fighting this corona epidemic day in and day out …
negative,very sick people indeed oh not dems the victims of 45's inaction with the coronavirus he knew on jan 6 and called it a hoax for almost 2 months decisive no devisive
positive,it is good results of efforts by chandigarh administration and corona warriers /pndb0n959y
positive,thanks to for having this scientific interaction on _cov_2 _distancing …
positive,stay home stay safe stay sane …
negative,left hand anna offline boring lockdown lekunte frnds tho spend chesevaadni
negative,coronavirus a world crisis end all sanctions now china and russia call on us to lift sanctions against iran
negative,i wish things could just be ok no matter what i do something catastrophic has to destroy my progress we were doing good financially i found a temporary job and now the fucking coronavirus is putting us in the fucking hole again and threatening my life like can i have a break
negative,evening update 128 343 cases globally up about 6k us at 1 663 up about 300 the jhu site appears to be having some problems that limit other information
negative,hare krsna sir my relatives came frm bihar on 17th mar & few days later lockdown started since then they are held up here now as special trains has started i am requesting you 2 please guide how they can utilise it i am trying but not able 2 know how 2 do pls help
negative,do the cretins who pushed old ladies over in their haste to over stockpile and brushed against each other not realise that their piles of stock might outlive them
negative,we are urged by and his mates to pull together to combat the then you see the bondi debacle the cruise ship unloading in sydney and now there are rumours that gov't ministers including the pm have taken their kids out of school wtf
negative,coronavirus keeping you inside sick of your spouse want to watch some nonsense then come watch and listen to me get drunk and blunder games on my friend's stream then come on in
negative,coming from a guy who lied to congress and staged the biggest coup in our countries history to take down a president corona virus no deep state virus
negative,there are expected more than 6 lac cases in hunn dasdi pai ay na govt mukhtaryaa eid shoppings with no sops being followed by people was a success behind this
negative,the has been around since the 60s why are we all of a sudden more affected by it
positive,love is in the air but do you know that you get no air to breathe if you are involved with a toxic love ~shrey
negative,utter disgrace from the scumbag with their page one on tuesday irresponsible inaccurate scaremongering and likely to act as incentive for people to ignore twitter com/ctwxbdo43a
negative,ppl r dying in delhi due to corona n cm is having so much time to joke he has got enough time to come on tv a talk lies what an eyewash asking for ppls suggestions heartless fellow
negative,coronavirus has hit & you are quarantined with your first 5 infected everyone else hoarding all the tp bathing in hand sanitizer telling everyone it is a conspiracy booking cheap vacation to italy
positive,do not forget failure to help the people during covid19 outbreak
negative,if this was the pandemic they say it is your phone would not be getting any signal your electricity would be out the flights would be cancelled and the world would stop damn turning if the coronavirus was as big as the next plague
positive,happy anniversary to you and your husband enjoy the date
negative,question what is the government not telling us about the coronavirus
negative,shop no 168 kherwadi road bandra east found 2 corona positive patients but still nirmal nagar police and bmc failed to take preventive actions against them shop is opened and other family members are free to roam /ejv60wpvjh
negative,the greatness of indian & is even party supporters are not seen supporting for last some days after kejriwal did a biggest mistakes in the testing times of the country of nation is above the politics for all of us
negative,surprised to find 50% respondents feeling depressed ( 13 + 37) lockdown is hurting mental health …
negative,please burn corona infected dead persons in electric creeamatorium
negative,they said the coronavirus going for a three peat scary hours
negative,support is being offered for both housing and employment transition on individual basis hotlines are open vulnerable students will struggle but i'm hopeful will have options structural issues need structural solutions problem is large scale structure now confers risk
positive,asymptomatic carriers are more than 80% nobody is talking about true potential of mask usage simple can save thousands of lives if everyone wears one world leaders are letting people die of …
negative,a huge loss to the industry and the world of music as wajid khan passes away the talented singer composer lost battle to covid 19 in a mumbai hospital today rest in peace twitter com/mxrtmncxsu
negative,in europe china and north america communities r supporting each other n doctors are working day n night to find a cure n vaccine for coronavirus while arabs are cracking jokes blaming their governments partying n storing groceries #حظر_تجول_اجباري_ينقذنا
positive,initiative of is excellent in preventing …
positive,to overcome reopening challenges after cut non essential costs look for online opportunities review your b model consider new channels
positive,asymptomatic carriers are more than 80% nobody is talking about true potential of mask usage simple can save thousands of lives if everyone wears one is letting people die of …
negative,if the govt ban the incoming of foreigners when 1st case of corona detected or make compulsory quarantined them then would never be happened now playing blame game n giving corona a communal angle by the is not culprit the govt n administration is
negative,wish you had run this trend when a religious congregation was organised ignoring corona crisis and the followers believed the god will save them from corona and nothing is going to happen to them result 100s infected 100s died
negative,thanks for the question i highlighted as this has been used by politicians to justify policy (on ) for the graph the key issue is the slope the steeper the slope the more rapidly is spreading
negative,who is idea is it that the attendant has to put there hand all over our beer to open it this is how you spread
negative,localism is the right way to deal with such problems you are right initially the lockdown was to deal with it universally now the state govts have been given the freedom to handle the crisis within a broad framework too much politics is messing the issue
positive,i hope everyone happy and you too june is halfway of the year 2020 i thinkabout corona virus its farewell
negative,this is not a time for jokes but someone called the coronavirus the “wuhan waylayer” & i could not help but chuckle
positive,_effect * મારા બેટા એરપોર્ટમાં થપો રમે છે■■ playing on empty airport grinning_face_with_big_eyes grinning_face_with_big_eyes first foundation
negative,govt briefed on ✓there are 1637 confirmed cases ✓386 new cases reported ✓38 death ✓ 3 new death in last 24 hours ✓132 patient recovered ✓no of cases increased due to cases related movement /we9ftbil6b
negative,our country is facing the worst time during this pandemic back to back we are loosing great artists in the period of covid19 shocked and deeply saddened to hear the news of passing in his younger age bollywood will miss you a lot and your music rest in peace
negative,let us be honest i miss the maid – at kubera park
negative,the real problem is covid19 and ph govt is diverting it to useless case dahil na nman cguro na hurt ang ego
positive,the covid 19 contagion might be challenging our lifestyle and our work habits but it is also making us more resilient as the saying goes ‘necessity is the mother of invention' we shall see new innovative ideas and systems in all aspects of life …
negative,coronavirus threat is blown out of proportion mortality rate of coronavirus in most of the places is less than 1% one person dies every 37 seconds in the united states from cardiovascular disease about 647 000 americans die from heart disease each year that is 1 in every 4 die
positive,my first trip will be to see my only love my mother when this nightmare corona ends
negative,fears drive immigrants to sgv gun shops via
negative,it is some the government is not telling people about the corona virus
negative,historical day for chirayu family that become india's first hospital those discharge 100 patients of covid 19 health minister of india narottammishrabjp medical college & hospitals bhopal …
negative,corona is proving a bonanza for private hospitals they have announced a package of rs 6 7 lac per patient how many people can afford it when the virus is taking heavy toll will dr zafar mirza cares to address this issue of profiteering by inhuman private hoapital
positive,delhi has witnessed the biggest spike in covid 19 count as over 1 200 people tested positive for virus on sunday there is only around 9500 bed available for covid patient and delhi cm said we are 4 step ahead to corona ー19
positive,much needed therapy …
negative,too many things are happening too many things have changed too many things have stopped yes this is difficult but each of us will continue to move one small step at a time it is not a race choose your speed twitter com/n8mpwxzihv
negative,bill gates in 2015 warn of corona virus plague he says a global health system need to be seriously considered further saying investment in these programs pale in comparison w/ bio nuclear tech i think global health systems is best handled using a i technology ー19
positive,a n i g h t i n s i n g a p o r e __ thanks to covid 19 for letting me back into this one particular pleasure … …
negative,public gathering should not be promoted by media already 100k + people died in coronavirus these people want more death to happen shameful act
negative,this is the reality of coronavirus think before you go out and put others in danger
positive,scientists coronavirus can last on metal for 9 days metalheads pic twitter com/m1gtsgxghl
negative,coronavirus concerns after trump contacts with now self quarantined gop congressmen
negative,quit buying all the toilet paper you stupid fuckers you dont need so much toilet paper all of a sudden you scared bitches i swear yall are the most greedy humans in the fucking worldpic twitter com/zkdirztuuq
negative,world gone nuts lockdown over here bars/restaurants shutdown for 15 days pic twitter com/awshufsbyk
negative,nobody says “where are you ” anymore
negative,everyone selling stuff like coronavirus sale covid clearance 50% off only for a limited time offer ends with the world
negative,stop booking cheap flights to hawaii i have family on kauai they are not medically equipped to handle an outbreak if it becomes widespread on the island i do not care if you want to quarantine on a luxury vacation stay home and think of the lives you are endangering
negative,anyone else beginning to feel a little bit anxious
negative,it is not the issue of whose government it is the issue is that the government is not thinking about student when covid19 is at its peak we do not think how they will travel to the exam center in this panic situation
negative,on friday two groups of experts came together at carolinas medical center to answer questions and address the latest coronavirus concerns both of those videos can now be found on our covid 19 updates page
positive,lockdown times with pencil my third pencil photography and editing °° welcome to my page follow for more photos •the photo is mine •full brightness recommend •… …
negative,my dad thinks the coronavirus is fake and the government is lying to raise the prices of stuff from china why
negative,as the new coronavirus spreads conferences suffer via
negative,doctors are 'begging' for more coronavirus testing but the system is failing
positive,watched on day 11 of lockdown
negative,no one in better ever act like there is not a divide between faculty and staff where faculty are valued over staff staff across institutions are being utterly ignored in the midst of these decisions about
negative,if a nsa to clear the crowd that has congregated against section 144 then it tells a lot about appeasement politics whoever the govt is sad even nsa must have coaxed them to enter is epicentre for political appeasement victimhood politics …
negative,maybe we should do one last snap referendum after the coronavirus kill the dumbest generation (old folk) who voted to leave
positive,telemedicine is the new call for action at the moment
negative,hope everyone stays safe this is not playing wash them hands cuh
negative,you all better wash your hands and quit eating bats i'm tired of hearing about the coronavirus mess
negative,the coronavirus caused xbox servers to crash and now i have had it with this stupid ass virus
negative,if karnataka police block road for covid19 transmission kerala cm huge war cry to pm kerala not mfr state consumer state
negative,hundreds of workers in pune with mark #शोकदिवस & #आक्रोशदिवस mourning those who have been sacrificed at the altar of an ill planned lockdown but also strengthening the resolve to resist the dilution of labour laws by the current regime /jfwyplj2hn
positive,covid 19 coffee pic twitter com/fbvdorn8k5 – at dose cafe
negative,coronavirus lockdown made many of us anxious as we are now slowly moving out of lockdown how to manage *coronaphobia
negative,a friend relative passed away while fighting with corona she was doctor as well
negative,i hope the coronavirus has not reached flavortown
positive,their are many youths who are willing to contribute during this covid 19 pandemic this is the right opportunity for them …
positive,once you are meditative music will naturally be a part of your life everting is vibration everting is sound _19
positive,this is the reason why he is bhai for everyone red_heart red_heart love you salman bhai revolving_hearts flexed_biceps flexed_biceps _19 #अखबार
negative,a senior saudi official urged more than 1 million muslims intending to perform the hajj to delay making plans this year in comments suggesting the pilgrimage could be cancelled due to the new coronavirus pandemic …
positive,the presence of the doctor is the beginning of the cure doctor's now a days ya allah save whole world ameen _19
negative,a second wave of the corona virus would be a nightmare to the world economy the spanish flu became much more virulent during the second wave
negative,thread on point about utter failure to plan in the
positive,google launches free digital skills training platform for job seekers and entrepreneurs impacted by covid 19
negative,sir please help me my family members are stranded in dehri in bihar before the lockdown they went to bihar 3 days before the lock don in the marriage and then the lockdown took place and then to you for not coming from there please manage to bring them
negative,what a decision we didnt tell govt to bring migrants but they will let us suffer for months worst govt n we thought best govt 7pm to 7am understandable but sat sun shutdown what does tht if humans r animals ppl will die for food before covid
negative,archdiocese holds online masses during coronavirus shutdown
negative,eu não acredito que as aulas foram realmente canceladas corona vírus eu te odeio
negative,nothing could have prepared us for the coronavirus our very nature is one of ignorance the response by johnson & this government is beyond ignorance though spare me your excuses of expert advice too common sense is all you need & this government has none of it
negative,we need a govt that works we need a govt that cares not a govt that is busy with namaste trump & operation topple in mp instead of combating corona not a govt that abandons migrants
negative,guess i have to stop calling it chineses food or mexican guess that makes me racist i have been told all my life that blacks cannot be racist well there goes that theory it is the mfing chinese wuhan corona virus it started there stop race baiting victim mentality
negative,why is fox news using a giant coronavirus pandemic banner all day on every show viewers are already panicked why pile on more stress it is not like anyone is forgetting what is happening please stop
negative,something is not right with this whole coronavirus thing the powers that be is using this for mass control imo how can you stop everything going on in the world for 2 weeks
positive,proud feel being a plant quarantine officer for ease of doing & clearing of perishable shipments even during lockdown by the chairmanship of our officer dr m s akhtar sir deputy director cum officer in charge rpqs kial plant quarantine warriors
negative,it seems like a lot of people are actually wanting the to be horrible for the us because they want trump out of office so bad imagine being that fucked in the head this is what we are dealing with and the media wonders why no one takes them seriously
negative,how to avoid coronavirus all the lights turn them off it is too loud in here to talk i do not understand a word you say got to sleep but instead karaoke on the bed taking duckface selfies right and left play our favorite songs scream out all night long oo ooh
negative,your the common enemy and your worse than the coronavirus and only when your out of office will the us be safe
positive,opportunities in the post covid world order …
negative,dey are n i see so many videos coming up tht dey r been blamed 4 everything y not 130 cr is suffering wid lockdown n u hndful idiots ruined it idiots becoz u condcted such event pple reached andaman n created havoc do not try 2 play scapegoat
negative,the same people who are complaining about how coronavirus is ruining their summer plans and how they just want this to end soon are also the ones going out despite there being a lockdown
negative,finally it is about time the fake news media finds a way to stop trump but seriously can such a serial liar be permitted to remain in office i do not care how many weeks are left
negative,ranga bila using covid tragedy as an opportunity to satisfy their sadist plans #आतंकी_भाजपा
negative,in 2014 americans freaked out about ebola now here we are in 2020 about to shit bricks over the corona virus good lands
positive,breaking so twitter can not live without wine during lockdown )
negative,major missing in this lockdown twitter com/fmwdhkq45g
negative,social gathering is restricted by govt of india to curb covid19 banning of azan by is based on abusive power&totally against constitutional freedom protected by art 25 guidelines of covid19 issued by goi does not prescribe such rules
negative,sick piece of shit asshole the trump administration will move ahead with its plan to kick people off of food stamps despite the coronavirus outbreak
negative,this worldwide coronavirus was a planned disease to depopulate people periodt
negative,doomsday preppers are in their bunkers laughing
negative,its completely horrible even than covid 19 thank goodness there is a cure now
negative,locust swarms attack in pakistan this is another emerging threat after covid 19 and plane crash یا اللہ ہم پر رحم فرما pic twitter com/0rspoasvsc
negative,it is hard for americans to re elect donald trump for second terms becoz his current n past statements on covid 19 ++ many other reasons proves he is not a serious man for such a prestigiius post he is to b strong n determined
negative,i feel so so bad for niall this was supposed to be his week and the corona virus is ruining everything ((
positive,these ppl stay here till 9 everyday and great havoc over hear this way we cannot control covid19 situation as being a responsible citizen i thought to share this everyday from 6pm onwardd this situation is there – at the gym vikaspuri
negative,daily our canadian or permanent resident corona virus numbers of infected persons increases because west & north vancouver are overwhelming chinese & iranian demographics constantly traveling back &forth to iran & china filling our airport leftist wont travel ban
negative,people cars abd biles are roaming freely on road in fromt of our house day and night with and without reason gurudwara road malviya nagar putting in danger lot of lives please help _petrol – at kulcha guru
negative,tells america to be calm because the is really working out
positive,day 1 of phase 1 have you got the new covid 19 promo juice set face_savoring_food …
negative,the audience was all your supporters there is a few that i recognize from you rallies we are not stupid bernie you lied multiple times & are trying to scare people about coronavirus your numbers do not add up 13 million canadian's have healthcare ask them
negative,pm modi speaks to prime minister of the state of kuwait sheikh sabah al khaled al hamad al sabah on crisis he is the 11th world leader pm spoke to in last few weeks over outbreak pic twitter com/rmdj3vudqq
negative,why the covid 19 coronavirus is worse than the flu in one chart vox
positive,trust me i am running out of photos which place will you visit post lockdown and why would it be your college … …
negative,“it is very unfortunate that such an order has been issued at a time when the whole country is battling for its survival and is under strict lockdown to stem spread of deadly coronavirus diseaserip indian democracy pic twitter com/5smkszuwpt
negative,so today i realized i cannot even get hammered because my anxiety prevents me from telling the difference between a hangover & symptoms of the coronavirus
negative,as it is evident that corona has a greatest threat to old age persons and by assessing the we demad release of sant shri asharamji bapu on a parole
positive,kaisa laga batana writing n narrating n shooting myself first time making the lockdown open my avenues cherry_blossom
positive,they are leading with good deeds …
positive,day 8 of 21 day lockdown tawa pulao 01 04 2020 prepared by sonal_aradwad city pune …
positive,“the ultimate measure of a person is not where one stands in moments of comfort and convenience but where one stands in times of challenge and controversy ” – martin luther king jr
negative,many people have lost their jobs after the arrival of covid 19 in such a difficult situation by doing a small project we have given jobs to 7 peoples and by projecting this and local farmers have increased morally in cuttack market launch ( 1st june 2020 ) pic twitter com/4mrpv1zpoq
negative,doctors at in have designed & built a that can be built out of supplies found in a hospital closet hoping it can help w/ a looming ventilator shortage due to the pandemic an example of american ingenuity tonight at 10 twitter com/f6mddizppl
positive,khush morning slightly_smiling_face the latest chitralekha out as a digital edition for its readers not miss this digital edition in a trying time of covid 19 & 3 lock down click d link & n joy slightly_smiling_face
negative,a company i primarily use for my bookings but it fails to serve its customers not left and fall to deaf ears trip id 190923161646 and my refund for 3148 not done customer grievances cell is still in no replies feel
negative,from the field covid 19 related ‘tragedy' unfolding in yemen
negative,i'm over this corona virus already i want my senior year back we should be living our best lives rn but instead we have to practice “social distancing” fuck that i'm tryna do some fuck shit w my girls
negative,in an extraordinary exchange us president trump viciously attacked an nbc news reporter who asked what his message would be to americans who are frightened by the coronavirus pandemic that is spreading across the country
negative,son wtf is this rt breaking two lakers players reportedly have tested positive for coronavirus now
positive,lockdown quixote quiz for fun forte answer pic twitter com/r3utngiqtb
negative,the pandemic aggravates difficulties faced by many vulnerable families in terms of the availability access and affordability of nutritious foods at this time of dire need your donations to arc aid has a direct impact on children across maldives pic twitter com/7lxb49edoz
negative,amazing detail showing how slow america has been in catching up to the coronavirus threat gene detectives have found a bit of evidence suggesting that part of california's outbreak comes from the washington state outbreak that officials only recently discovered
negative,when in the verge of covid 19 people are loosing jobs because of global pandemic airlines like fraudulently take money on flight booking and their credit shell never works so as their phone number i need refund
negative,sir if covid 19 highly spread in india will indian economy be able enough to beat the losses more than 75% of the world countries are in lock down is this lock down will bring global financial crisis again
negative,coronavirus is a serious issue requiring balanced assessment why have you got novara media biased ner do wells like michael walker on your programme shameful
negative,the world's hottest new currency buttcoin be safe with the elderly and practice extreme by not going out unnecessarily often try to find a little humor in something somewhere and share it sucks
negative,more reasons why we need a creative destruction approach to our existing systems global pandemic this large is not to be a thing of joke god in his infinite mercy would keep protecting his people do not forget to share and spread the philosophy pic twitter com/coqt4sez0s
negative,why is unable to resolve my case i booked a ticket attached in the email and below is the response my travel date was within the lockdown period and on the website it stated that i will get a refund why have not i got my money back yet its been more than a month pic twitter com/4xcsoy6spk
negative,it is called voter suppression sweaty coronavirus is mysteriously sparing kids and killing the elderly
negative,i'm an epidemiologist when i heard about britain's ‘herd immunity' coronavirus plan i thought it was satire | william hanage
negative,cases surpass 3 million as the u s death toll from tops 55 00
negative,coronavirus woman 39 in icu warns people who doubt they can catch it business insider
negative,"""this is not but it is what ca nurses are being told to wear to fight spread the word & expose this crisis "" () rn sign the petition twitter com/eougwyp9bx"
negative,fever 88% cough 68% fatigue 38% sputum or thick phlegm 33% shortness of breath 19% bone & joint pain 15% sore throat 14% headache 14% chills 11% nausea or vomiting 5% stuffy nose 5% diarrhea 4% coughing up blood 1% swollen eyes 1%
negative,moms in the hospital as far as we can tell not corona but she has mds and is undergoing chemo so her immune system is extremely weak at best very worried about her right now and not allowed to see her as she is in isolation due to the virus
negative,if india is to progress the hindu muslim issue has to be completely resolved twitter unites muslims pandits in time of #गंगा_दशहरा …
negative,what about the 37k detainees that are in custody // ice to stop most immigration enforcement inside united states will focus on criminals during coronavirus outbreak the washington post
negative,40 yr old bijbehara woman dies of covid 19 at skims j&k toll reaches 18 _19
negative,if you are feeling frightened or confused b/c of just remember some of us are more fortunate than others & be kind to someone else you will feel better amazing transformation | what a wonderful feeling his first haircut af via
negative,kim there are people dying of covid …
negative,young and unafraid of the coronavirus good for you now stop killing people | opinion
negative,what the thick fucks do not seem to realise is the two will be inextricably tied together and given their appalling failure on covid this can only be very bad news for the government
negative,"""indian doctors fight coronavirus with raincoats helmets amid lack of equipment"" prime minister narendra modi's government said india was trying to get personal protective equipment in bulk domestically and from south korea and china to meet the shortages …"
negative,make a book about the incompetent of ucp and the clowns conservatives lucky canada does not have conservative in power with this we be fuck
negative,'madhouse' travelers face airport chaos as u s tries to implement coronavirus screening via why did not those travelers stay in the foreign country they were in governor pritzker so stfu the president is doing a great job with a impossible task
negative,is this what the west bengal govt calls lockdown this sight was seen this morning in haiderpara area of siliguri please look into the matter at the earliest due to negligence of these people the entire state might suffer pic twitter com/vu5priavlp
negative,i'm regularly repaying bajaj finance loans every month this month my emi 2nd april 2020 because of current lockdown situation it will be difficult to pay the emi's hope 3 months emi moratoriam applies to bajaj finance too waiting for notification
negative,infected people without symptoms might be driving the spread of coronavirus more than we realized
negative,sir this is the condition or our village saharsa during lockdown sir we are staying in our home since log time but if we get this type of crowd then there is no meaning of social distance do something pic twitter com/oz85eudskc
positive,the has made me appreciate the office …
negative,why shud i suffer because of such ppl if i catch corona it is only because of tabligh
negative,hope to see more people become aware of obesity being the cause of not only lifestyle diseases but also a weak immunity leading to infections like _19 the next step will be to eat the right food at the right time to lose weight & become healthier & energetic …
positive,with life coming back on track and living with covid19 is now a new way of existing while fighting with the virus the livelihood of tribal women from niyamgiri hills is appearing to be moving ahead plates made… …
positive,a for already backhand_index_pointing_down backhand_index_pointing_down
negative,why did you kill a man to hide how bad the coronavirus was
positive,*special offer* online booking open for models to get the best offer book before ends and get the amazing * wrist watch * up to 100℅ finance available on low down payment for more offer &…
negative,americans living their lives to the fullest while im scared shitless thinking of buying medicine from the pharmacy
negative,should just cancel these press conf and issue written press release let the experts have more time to deal with the crisis these reporters are clowns w/ stupid “gotcha” questions
negative,the only stores open in italy or grocery stores and pharmacies it is completely locked down that is not the flu
negative,was lockdown series for this /8uujnn6a5b
negative,dear sir people those are suspect or quarantine of coronavirus give them homeopathic medicine arsenic album there is no harm or side effect it had worked in 1918 spanish flu epidemic several time it worked it is very cost effective also
negative,an overwhelming to the govt of india and telangana and the doctors and and to the entire staff of hospitality management and entire police department fighting against _19india risking their life's to save the people so as a responsible indian citizen
negative,david clarke says coronavirus is just “the damn flu” rated pants on fire by politifact – via factstream
negative,this corona virus got african parent paranoia on a all time high lol
positive,we win covid 19 fight sir
negative,heal the world from the dangerous virus #โควิด_19 ー19 #โควิท_19 ıd19 twitter com/wwmgdwcr2j
negative,please waive the charges of cable tv for 3 months due to lock down for covid 19
positive,"president trump says white house coronavirus experts agree the u s can start moving into a new phase of reopening the country ""a national shutdown is not a sustainable long term solution """
negative,interstate and air travel shut down possibility stay close to home or be stranded airports in nyc and philadelphia temporarily shut down over concerns about coronavirus infecting staff via
positive,april may edition of #लोक_कल्याण_सेतु highlights home made tips to prevent corona measures to get rid of bad effects of eclipse benefits of meditating on the idol of sadguru simple ways to stay healthy the festival of gaining devotion n wisdom
negative,how deals with is the funniest thing on the internet tragic for north koreans only
negative,we should even be in this situation we spend $600+ trillion on our & billions & billions more that is on “off the books ” i e stuff yet cannot even provide basic supplies for hospitals am i right
negative,the main concern is economy now for the govt everywhere it is the same even in india lockdown has been lifted and it exists until june 30th only in containment zones i guess they have accepted the fact people have to live with it
negative,the most dangerous thing about the coronavirus is the fear it is causing it just started in hawaii (where i live) and as always most food is being sold out my mom just had to go shopping and she might be there for at least 40 minutes because of the long lines
positive,appeal to people watch this vedio from below link and boost the immunity to fight with corona …
negative,dollars vs deaths is the sickening choice created by coronavirus
positive,my article on induced transformation of …
negative,51 year old male covid 19 patient dies in maharashtra taking death toll to 13
negative,india records worst day of covid 19 pandemic 5 611 new cases in 24 hours by anulekha ray the number of deaths due to coronavirus infection rose to 3 303 maharashtra reported the highest single day death toll of 63 a lion's share of coronavirus fatalities in last 24 hours – at bhiwandi
positive,i spite of the lockdown i can still get a cake made by one of our township ladies so a grand cake cutting
negative,this dude loose af off his first two sake bombs he even did a toast to the coronavirus now bruh on speaker talking about buying a kilo of coke telling you bruh these sun bombs is not no joke lmfaoooooooo
negative,govt failed in providing shelter food job security to people this is the biggest reason why the lockdown in telangana is lifted again
negative,tonight as we enter the last 10 days of ramzan pray for forgiveness pray for the helpless migrants to ease their sufferings pray for the ummah and pray for a corona free world inshallah
negative,like father like son ron and rand paul are just so fucking stupid
positive,bses is enjoying covid19 benifit by sending exorbitant bill amount self reading nt possible as reading is less than previous reading tho 8mar reading 6432 29may 7297 unable to log written complaint pic twitter com/hyix5xdy59
negative,man i done learned the whole you got served dance cause of this weak ass corona virus
negative,april 2009 to april 2010 cdc estimated there were 274 304 hospitalizations & 12 469 deaths the left is trying to panic us into recession to defeat
negative,not everyone coming from other countries were tested & later found out they were infected 195 countries and territories have coronavirus and lucky 4 me you do not get to dictate to me what i do or do not do apparently it is you who are not educated
positive,hi gm this is a beautiful prayer in these times 19 hear this early in the morning use headphones and close your eyes for a few minutes gives a very peaceful experience folded_hands
negative,many people are avoiding crowded gyms and workout classes over coronavirus concerns but you do not let physical activity fall by the wayside here's a great circuit workout you can create at home
negative,how a poor laborer who was teaching his son or daughter whose work has been snatched in lockdown would be able to pay hefty examination fees
negative,new coronavirus losing potency top italian doctor says | article [amp] | reuters …
negative,covid is not a bodily disease anymore it is now affecting social mental & emotional health
negative,freshman year hurrican harvey sophomore year chemical plant fires junior year coronavirus lmfaooo ive had extra breaks in all my hs years
positive,now that is new
negative,liberal trump haters have now threatened bio terrorism is investigating this & other threats to spread at trump rallies has video of bernie supporters threatening to riot in mil lead to investigations if this happens who do we blame
negative,coronavirus cases continues to rise worldwide researchers have found that older people are more susceptible to respiratory illness which can cause pneumonia fever cough & shortness of breath release sant shri asharamji bapu twitter com/w9ecurqxtn
negative,fuck me this song might be the cure to coronavirus
negative,wish corona caught me
negative,covid 19 notice all seeking assistance from the united community housing coalition or michigan legal services due to the current public health concerns regarding coronavirus our office are closed to the public until further notice more details
negative,respected pm you have ordered the lockdown and we need to enforce it strictly else the purpose for lock down will be wasted economy gone and people not following i fear the purpose of lockdown is defeated so we are losing on both fronts – at madambakkam tank ground ( tg )
positive,everyone stayhome staysafe stay calm ー19 _19india my india please India folded_hands love my nation India red_heart love you all sharing n caring – at hotel sankam residency belgaum
negative,coronavirus memes i f****** need a beer and a goddamn vacation
negative,coronavirus un ghana staff to work from home as colleague gets infected
negative,everyone panicked by the coronavirus is part of the fucking problem
negative,sad news but it needs to be done brace ourselves we can do this …
